"site","year","precip","block","nitrogen","plot","Agropyron smithii","Alliium textile","Ambrosia artemisiifolia","Ambrosia psilostachya","Amorpha canescens","Andropogon gerardii","Artemesia frigida","Artemesia longiseta","Artimisia ludoviciana","Asclepias stenophylla","Asclepias syriaca","Asclepias veridis","Asclepias verticillata","Asclepias viridiflora","Astagulus","Aster ericoides","Aster oblongifolia","Aster sericeus","Astragalous oxytropis","Baptisia bracteata","Bouteloua curtipendula","Bouteloua dactyloides","Bouteloua gracilis","Bromus","Bromus japonicus","Bromus tectorum ","Callirhoe involucrata","Carex brevior","Carex eleocharis","Carex filifolia","Carex heliophila","Carex meadii","Ceanothus herbaceus","Chenopodium album","Chenopodium incanum","Chenopodium leptophyllum","Chrysothamnus nauseosus","Circium undulatum","Comandra umbellatum ","Conyza","Conyza canadensis","Cornus drummondii","Coryphantha vivipara","Cryptantha minima","Cymopterus","Cyperus spp.","Dalea candida","Dalea multiflora","Dalea purpurea","Desmodium illinoense","Dichanthelium acuminatum","Dichanthelium oligosanthes","Draba reptans","Echinocerus","Elymus elymoides","Eragrostis spectabilis","Erechtites hieracifolia  ","Ericameria nauseosa","Erigeron strigosus","Eriognum effusum","Erysimum asperum","Eupatorium altissimum","Euphorbia nutans","Euphorbia sp.","Evolvulus nuttallianus","Festuca (Vulpia) octoflora","Gaura coccinea","Gutierrezia sarothrae","Hairystem leaf grass ","Heterotheca villosa","Hole","Ipompsis laxiflora","Koelaria macrantha","Koeleria pyramidata","Kuhnia eupatorioides","Lactuca serriola","Lapula","Lepideum densiflorum","Lespedeza capitata","Lespedeza violacea","Lespedeza violacea? Virginica?","Leucocrinum montanum","Lichen","Lupinus","Lygodesmia juncea","Machaeranthera p.","Machaeranthera tanacetifolia","Mirabilis linearis","Muhlenbergia torreyi","Oenothera albicaulis","Oenothera coronopifolia","Oenothera rosette","Opuntia polyacantha","Oxalis stricta","Panicum virgatum","Penstemon albidus?","Physalis pumila","Picradaniopsis oppositiforia","Plantago patagonica","Plantago tangetifolia","Psoralea tenuiflora","Rhus glabra","Rosa arkansana","Ruellia humilis","Salsola tragus","Salvia azurea","Schizachyrium scoparium","Scutellaria brittonii","Sial","Sistanion hystrix","Sisymbrium altissimum","Sisyrinchium campestris","Solanum rostratum","Solidago canadensis","Solidago missouriensis","Solidago rigida","Solidago speciosa","Sorghastrum nutans","Sphaeralcea coccinea","Sporobolus asper","Sporobolus cryptandrus","Sporobolus heterolepis","Stipa comata","Syal","Taraxicum officinale","Thelesperma filifolium","Tragopogon dubius","Tumble Mustard","Ulmus (tree) am ","UNK Forb 2 Catyledons","UNK Fung","Unknown #2","Unknown #5","unknown forb","Unknown forb","unknown forb #1","Unknown forb #1","unknown forb #2","Unknown grass #1","Verbena bracteata","Vernonia baldwinii","Very small seedling Forb","Viola petidifida"
"mesic",2013,729.1,"A",0,6,0,0,0,8,6,85,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mesic",2013,729.1,"A",2.5,8,0,0,0,7,5,75,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,10,0,3,0,25,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"mesic",2013,729.1,"A",5,5,0,0,0,4,1,60,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,45,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mesic",2013,729.1,"A",7.5,7,0,0,0,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,35,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mesic",2013,729.1,"A",10,3,0,0,0,1,12,90,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,7,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mesic",2013,729.1,"A",15,4,0,0,0,0,0,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mesic",2013,729.1,"A",20,2,0,0,0,2,0,90,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"mesic",2013,729.1,"A",30,1,0,0,0,12,0,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,6,0,5,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mesic",2013,729.1,"B",0,9,0,0,0,1,26,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,11,5,0,0,0,0,0,0,0,11,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"mesic",2013,729.1,"B",2.5,10,0,0,0,18,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,45,0,0,16,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
