Snake,County,Latitude,Longitude,Species_Genotype,PC1,PC2,,,
JSR035,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.555734946,-0.029099492,,,
EJEcolorado,Santa_Clara,37.433533,-121.510806,atratus_EPN,0.763017445,-0.09218156,,,
JSR032,Santa_Cruz,37.07821,-122.24668,atratus_EPN,0.574498511,0.099186938,,,
CRF2436B,Captive_Birth,39.820297,-123.080799,atratus_EPN,-0.799528691,0.387829013,,,
CRF3106,Santa_Cruz,37.04068,-122.2288,atratus_EPN,0.591722856,0.525884787,,,
CRF3107,Santa_Cruz,37.04068,-122.2288,atratus_EPN,0.591722856,0.525884787,,,
CRF3109,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.55010476,0.525588309,,,
CRF3110,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.55010476,0.525588309,,,
CRF3111,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.55010476,0.525588309,,,
CRF3112,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.55010476,0.525588309,,,
EJE125,Alameda_,36.4528111,-121.5122222,atratus_EPN,1.117883323,0.513529735,,,
EJE126,Alameda_,36.43436944,-121.5111111,atratus_EPN,1.125150055,0.514797508,,,
JSR005,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.55010476,0.525588309,,,
JSR031,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.55010476,0.525588309,,,
JSR036,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.55010476,0.525588309,,,
JSR033,Santa_Cruz,37.07821,-122.24668,atratus_EPN,0.57013296,0.529282572,,,
JSR034,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.548946128,0.639737161,,,
JSR010,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.548604338,0.673410428,,,
JSR006,Santa_Cruz,37.09632,-122.2777,atratus_EPN,0.544895445,1.03881186,,,
VLT097,San_Mateo,37.548209,-122.513571,atratus_P,0.28751221,-0.049156216,,,
CRF3081,San_Mateo,37.548209,-122.513571,atratus_P,0.287501409,-0.048092108,,,
CRF3355,Trinity,40.369847,-123.314122,atratus_P,-1.096978318,-0.192248444,,,
CRF3031,Mendocino,39.74717,-123.63421,atratus_P,-1.00624958,-0.120686508,,,
CRF3008,Marin,37.969756,-122.644693,atratus_P,0.075660058,-0.066633435,,,
CRF3013,Napa,38.764993,-122.301092,atratus_P,-0.068423262,-0.150620425,,,
CRF2718,Humboldt,40.48578333,-123.5859,atratus_P,-1.257178659,-0.177079038,,,
CRF2447,Mendocino,39.89663889,-122.9875,atratus_P,-0.781650685,-0.179735892,,,
CRF2407,Napa,38.781405,-122.281479,atratus_P,-0.065991614,-0.152445573,,,
MTJH1704,Mendocino,39.03175,-123.08163,atratus_P,-0.504087733,-0.108298345,,,
CRF2716,Humboldt,40.48578333,-123.5859,atratus_P,-1.257198507,-0.175123538,,,
CRF3014,Napa,38.764993,-122.301092,atratus_P,-0.068448358,-0.148147953,,,
CRF2719,Humboldt,40.48578333,-123.5859,atratus_P,-1.257201473,-0.174831337,,,
CRF2352,Yolo,38.90615,-122.3091333,atratus_P,-0.123872805,-0.157550538,,,
CRF3084,San_Mateo,37.548209,-122.513571,atratus_P,0.287439809,-0.042023313,,,
CRF3030,Mendocino,39.74717,-123.63421,atratus_P,-1.006299772,-0.115741565,,,
CRF2412,Napa,38.764993,-122.301092,atratus_P,-0.068463188,-0.146686947,,,
CRF3012,Napa,38.764993,-122.301092,atratus_P,-0.068483721,-0.144664016,,,
CRF3016,Napa,38.764993,-122.301092,atratus_P,-0.068501973,-0.142865854,,,
CRF2436,Mendocino,39.820297,-123.080799,atratus_P,-0.793975619,-0.159261558,,,
CRF3015,Napa,38.764993,-122.301092,atratus_P,-0.068508817,-0.142191544,,,
CRF2450,Mendocino,39.89663889,-122.9875,atratus_P,-0.781735099,-0.171419396,,,
MTJH1706,Mendocino,39.03175,-123.08163,atratus_P,-0.504166215,-0.100566252,,,
CRF2452,Mendocino,39.89663889,-122.9875,atratus_P,-0.78173738,-0.171194626,,,
CRF2437,Mendocino,39.820297,-123.080799,atratus_P,-0.793987027,-0.158137707,,,
CRF2353b,Yolo,38.90615,-122.3091333,atratus_P,-0.12394353,-0.150582663,,,
CRF2455,Mendocino,39.89663889,-122.9875,atratus_P,-0.781744225,-0.170520316,,,
CRF2353A,Yolo,38.90615,-122.3091333,atratus_P,-0.123957219,-0.149234042,,,
CRF2456,Mendocino,39.89663889,-122.9875,atratus_P,-0.781755632,-0.169396465,,,
MTJH1703,Mendocino,39.03175,-123.08163,atratus_P,-0.504210042,-0.096248394,,,
CRF2454,Mendocino,39.89663889,-122.9875,atratus_P,-0.781833202,-0.161754279,,,
CRF2453,Mendocino,39.89663889,-122.9875,atratus_P,-0.781858298,-0.159281808,,,
CRF2409,Napa,38.781405,-122.281479,atratus_P,-0.066202649,-0.131654333,,,
EJE221,Napa,38.734346,-122.760004,atratus_P,-0.25579923,-0.090070429,,,
CRF2451,Mendocino,39.89663889,-122.9875,atratus_P,-0.781881112,-0.157034106,,,
CRF2588,Napa,38.759083,-122.277033,atratus_P,-0.056111692,-0.12586464,,,
CRF2449,Mendocino,39.89663889,-122.9875,atratus_P,-0.781922179,-0.152988243,,,
CRF2441,Mendocino,39.815603,-123.07225,atratus_P,-0.788770914,-0.138001299,,,
CRF2720,Humboldt,40.48578333,-123.5859,atratus_P,-1.257484374,-0.146959837,,,
MTJH1705,Mendocino,39.03175,-123.08163,atratus_P,-0.504382269,-0.079280518,,,
CRF2408,Napa,38.781405,-122.281479,atratus_P,-0.066385165,-0.11367272,,,
EJE133,San_Mateo,36.43847222,-122.3263889,atratus_P,0.775080171,0.188802006,,,
CRF2439,Mendocino,39.820297,-123.080799,atratus_P,-0.796106502,0.050673772,,,
CRF3045,Siskiyou,41.23005,-122.38249,atratus_WT,-1.010681461,-0.33011317,,,
CRF3605,Siskiyou,41.25039,-121.94444,atratus_WT,-0.828767159,-0.365208647,,,
