State,City,Lat,Long,Pop,Time,Growth,Ppt,Temp,Size
OR,Portland,45.5372,-122.65,2074775,20,11820.08806,1103.660034,11.92000008,large
OR,Eugene,44.0563,-123.1173,273439,19,10865.47238,1136.949951,11.35000038,small
OR,Salem,44.9231,-123.0246,266804,18,9688.619937,1008.72998,11.67000008,small
OR,Medford,42.3372,-122.8537,170876,17,8430.234172,508.7399902,12.11999989,small
OR,Bend,44.0562,-121.3087,109802,16,7555.864907,292.5899963,8.119999886,small
OR,Gresham,45.5023,-122.4413,109381,15,6862.45532,1298.109985,11.64000034,small
OR,Hillsboro,45.5272,-122.9361,109128,14,6350.09143,962.6799927,11.76000023,small
OR,Beaverton,45.4779,-122.8168,99037,13,5245.630713,1004.549988,11.76000023,small
OR,Corvallis,44.5697,-123.278,67467,12,4721.078132,1065.410034,11.52000046,small
OR,Springfield,44.0538,-122.981,63230,11,3800.498371,1075.780029,11.39000034,small
OR,Albany,44.6274,-123.0966,62880,10,3738.670855,1055.380005,11.57999992,small
OR,Grants Pass,42.4333,-123.3317,55837,9,2806.641849,780.2600098,12.81999969,small
OR,Tigard,45.4237,-122.7845,55514,8,1941.284565,1020.48999,11.86999989,small
OR,Aloha,45.492,-122.8726,54287,7,1588.651827,997.1199951,11.72000027,small
OR,Roseburg,43.2232,-123.3518,46228,6,1333.523633,847.9099731,12.47999954,small
OR,Klamath Falls,42.2191,-121.7754,43246,5,982.717908,339.6000061,8.029999733,small
OR,McMinnville,45.211,-123.1918,42062,4,641.0854775,1098.680054,11.71000004,small
OR,Lake Oswego,45.413,-122.7003,39822,3,519.2885278,1090.969971,11.89999962,small
OR,Keizer,45.0029,-123.0241,39713,2,362.3419956,1033,11.75,small
OR,Oregon City,45.3415,-122.5927,37339,1,191.04335,1172.569946,11.86999989,small
NV,Las Vegas,36.2333,-115.2654,2104198,20,9657.850063,115.5199966,19.19000053,large
NV,Reno,39.5497,-119.8483,445020,19,8727.729156,283.1099854,10.68999958,small
NV,Henderson,36.0133,-115.038,320189,18,8093.277311,123.9499969,19.95000076,small
NV,North Las Vegas,36.288,-115.0901,251974,17,7596.862164,115.0199966,19.59000015,small
NV,Paradise,36.0807,-115.1369,235087,16,7124.600061,112.0800018,19.96999931,small
NV,Spring Valley,36.0987,-115.2619,207127,15,5721.104488,130.2700043,19.14999962,small
NV,Sunrise Manor,36.1785,-115.049,193781,14,4361.080727,115.5999985,20.31999969,small
NV,Enterprise,36.0164,-115.2208,171108,13,3580.991249,132.9700012,19.19000053,small
NV,Sparks,39.5729,-119.7157,105006,12,3090.441219,216.1799927,11.07999992,small
NV,Carson City,39.1512,-119.7474,58756,11,2788.754625,216.7700043,10.28999996,small
NV,Whitney,36.1005,-115.038,42973,10,2440.99637,122.2900009,20.61000061,small
NV,Pahrump,36.2411,-116.0176,37298,9,2361.448815,124.0299988,17.55999947,small
NV,Winchester,36.1368,-115.1299,28231,8,1619.965785,116.0800018,20.02000046,small
NV,Summerlin South,36.1242,-115.3324,27908,7,1312.13904,148.2799988,18.52000046,small
NV,Fernley,39.5611,-119.1926,21476,6,1111.388849,141.8999939,11.25,small
NV,Elko,40.8387,-115.7674,21179,5,895.5275951,251.3000031,7.75,small
NV,Sun Valley,39.6106,-119.7765,21159,4,693.8854179,245.4100037,10.86999989,small
