site,year,precip,block,nitrogen,plot,species,cover
mesic,2013,729.1,A,30,1,Ambrosia psilostachya,12
mesic,2013,729.1,A,30,1,Dalea candida,4
mesic,2013,729.1,A,30,1,Panicum virgatum,25
mesic,2013,729.1,A,30,1,Dichanthelium oligosanthes,7
mesic,2013,729.1,A,30,1,Andropogon gerardii,55
mesic,2013,729.1,A,30,1,Kuhnia eupatorioides,2
mesic,2013,729.1,A,30,1,Physalis pumila,2
mesic,2013,729.1,A,30,1,Sporobolus asper,4
mesic,2013,729.1,A,30,1,Solidago canadensis,6
mesic,2013,729.1,A,30,1,Asclepias verticillata,3
mesic,2013,729.1,A,30,1,Solidago rigida,5
mesic,2013,729.1,A,30,1,Sorghastrum nutans,20
mesic,2013,729.1,A,30,1,Ruellia humilis,3
mesic,2013,729.1,A,30,1,Bouteloua curtipendula,6
mesic,2013,729.1,A,30,1,Carex meadii,24
mesic,2013,729.1,A,30,1,Schizachyrium scoparium,12
mesic,2014,665.7,A,30,1,Sisyrinchium campestris,1
mesic,2014,665.7,A,30,1,Ambrosia psilostachya,1
mesic,2014,665.7,A,30,1,Schizachyrium scoparium,14
mesic,2014,665.7,A,30,1,Aster ericoides,2
mesic,2014,665.7,A,30,1,Andropogon gerardii,90
mesic,2014,665.7,A,30,1,Carex heliophila,1
mesic,2014,665.7,A,30,1,Sporobolus asper,9
mesic,2014,665.7,A,30,1,Dalea candida,2
mesic,2014,665.7,A,30,1,Carex meadii,9
mesic,2014,665.7,A,30,1,Solidago rigida,6
mesic,2014,665.7,A,30,1,Solidago canadensis,6
mesic,2014,665.7,A,30,1,Ruellia humilis,2
mesic,2014,665.7,A,30,1,Sorghastrum nutans,8
mesic,2014,665.7,A,30,1,Bouteloua curtipendula,3
mesic,2014,665.7,A,30,1,Asclepias verticillata,1
mesic,2014,665.7,A,30,1,Dichanthelium oligosanthes,8
mesic,2014,665.7,A,30,1,Panicum virgatum,10
mesic,2015,894,A,30,1,Andropogon gerardii,75
mesic,2015,894,A,30,1,Bouteloua curtipendula,5
mesic,2015,894,A,30,1,Schizachyrium scoparium,15
mesic,2015,894,A,30,1,Dichanthelium oligosanthes,4
mesic,2015,894,A,30,1,Panicum virgatum,50
mesic,2015,894,A,30,1,Sorghastrum nutans,40
mesic,2015,894,A,30,1,Sporobolus asper,3
mesic,2015,894,A,30,1,Carex heliophila,1
mesic,2015,894,A,30,1,Carex meadii,4
mesic,2015,894,A,30,1,Asclepias verticillata,1
mesic,2015,894,A,30,1,Aster ericoides,1
mesic,2015,894,A,30,1,Dalea candida,2
mesic,2015,894,A,30,1,Ruellia humilis,2
mesic,2015,894,A,30,1,Solidago canadensis,5
mesic,2015,894,A,30,1,Solidago rigida,3
mesic,2016,1054.2,A,30,1,Asclepias verticillata,1
mesic,2016,1054.2,A,30,1,Panicum virgatum,60
mesic,2016,1054.2,A,30,1,Solidago canadensis,16
mesic,2016,1054.2,A,30,1,Sorghastrum nutans,18
mesic,2016,1054.2,A,30,1,Solidago missouriensis,2
mesic,2016,1054.2,A,30,1,Ruellia humilis,1
mesic,2016,1054.2,A,30,1,Oxalis stricta,1
mesic,2016,1054.2,A,30,1,Carex heliophila,1
mesic,2016,1054.2,A,30,1,Carex meadii,2
mesic,2016,1054.2,A,30,1,Schizachyrium scoparium,5
mesic,2016,1054.2,A,30,1,Dichanthelium oligosanthes,3
mesic,2016,1054.2,A,30,1,Andropogon gerardii,45
mesic,2016,1054.2,A,30,1,Solidago rigida,1
mesic,2017,850.9,A,30,1,Carex meadii,1
mesic,2017,850.9,A,30,1,Solidago missouriensis,11
mesic,2017,850.9,A,30,1,Ambrosia psilostachya,3
mesic,2017,850.9,A,30,1,Carex heliophila,2
mesic,2017,850.9,A,30,1,Oxalis stricta,1
mesic,2017,850.9,A,30,1,Ruellia humilis,2
mesic,2017,850.9,A,30,1,Bouteloua curtipendula,2
mesic,2017,850.9,A,30,1,Solidago canadensis,35
mesic,2017,850.9,A,30,1,Panicum virgatum,28
mesic,2017,850.9,A,30,1,Sorghastrum nutans,25
mesic,2017,850.9,A,30,1,Andropogon gerardii,45
mesic,2017,850.9,A,30,1,Dalea candida,4
mesic,2017,850.9,A,30,1,Schizachyrium scoparium,8
mesic,2013,729.1,A,20,2,Ambrosia psilostachya,2
mesic,2013,729.1,A,20,2,Dalea purpurea,6
mesic,2013,729.1,A,20,2,Carex meadii,8
mesic,2013,729.1,A,20,2,Dichanthelium oligosanthes,22
mesic,2013,729.1,A,20,2,Sporobolus asper,5
mesic,2013,729.1,A,20,2,Aster ericoides,9
mesic,2013,729.1,A,20,2,Euphorbia nutans,1
mesic,2013,729.1,A,20,2,Andropogon gerardii,90
mesic,2013,729.1,A,20,2,Salvia azurea,3
mesic,2013,729.1,A,20,2,Cyperus spp.,1
mesic,2013,729.1,A,20,2,Ruellia humilis,2
mesic,2013,729.1,A,20,2,Callirhoe involucrata,1
mesic,2013,729.1,A,20,2,Sorghastrum nutans,60
mesic,2013,729.1,A,20,2,Viola petidifida,1
mesic,2014,665.7,A,20,2,Sporobolus asper,5
mesic,2014,665.7,A,20,2,Dichanthelium oligosanthes,35
mesic,2014,665.7,A,20,2,Ambrosia psilostachya,1
mesic,2014,665.7,A,20,2,Carex meadii,10
mesic,2014,665.7,A,20,2,Panicum virgatum,2
mesic,2014,665.7,A,20,2,Sorghastrum nutans,20
mesic,2014,665.7,A,20,2,Andropogon gerardii,85
mesic,2014,665.7,A,20,2,Ruellia humilis,2
mesic,2014,665.7,A,20,2,Aster ericoides,1
mesic,2014,665.7,A,20,2,Salvia azurea,3
mesic,2015,894,A,20,2,Andropogon gerardii,100
mesic,2015,894,A,20,2,Dichanthelium oligosanthes,25
mesic,2015,894,A,20,2,Sorghastrum nutans,13
mesic,2015,894,A,20,2,Carex meadii,7
mesic,2015,894,A,20,2,Amorpha canescens,1
mesic,2015,894,A,20,2,Ruellia humilis,3
mesic,2015,894,A,20,2,Salvia azurea,6
mesic,2015,894,A,20,2,Viola petidifida,1
mesic,2016,1054.2,A,20,2,Salvia azurea,1
mesic,2016,1054.2,A,20,2,Carex meadii,4
mesic,2016,1054.2,A,20,2,Euphorbia nutans,3
mesic,2016,1054.2,A,20,2,Ambrosia psilostachya,5
mesic,2016,1054.2,A,20,2,Bouteloua gracilis,1
mesic,2016,1054.2,A,20,2,Sorghastrum nutans,10
mesic,2016,1054.2,A,20,2,Dichanthelium oligosanthes,9
mesic,2016,1054.2,A,20,2,Ruellia humilis,3
mesic,2016,1054.2,A,20,2,Sporobolus asper,8
mesic,2016,1054.2,A,20,2,Andropogon gerardii,100
mesic,2016,1054.2,A,20,2,Solidago canadensis,1
mesic,2017,850.9,A,20,2,Sorghastrum nutans,20
mesic,2017,850.9,A,20,2,Andropogon gerardii,85
mesic,2017,850.9,A,20,2,Ambrosia psilostachya,16
mesic,2017,850.9,A,20,2,Euphorbia nutans,2
mesic,2017,850.9,A,20,2,Salvia azurea,2
mesic,2017,850.9,A,20,2,Ruellia humilis,1
mesic,2017,850.9,A,20,2,Dichanthelium oligosanthes,10
mesic,2017,850.9,A,20,2,Hairystem leaf grass ,2
mesic,2017,850.9,A,20,2,Sporobolus asper,8
mesic,2017,850.9,A,20,2,Carex meadii,1
mesic,2013,729.1,A,10,3,Amorpha canescens,12
mesic,2013,729.1,A,10,3,Ambrosia psilostachya,1
mesic,2013,729.1,A,10,3,Carex meadii,5
mesic,2013,729.1,A,10,3,Andropogon gerardii,90
mesic,2013,729.1,A,10,3,Eragrostis spectabilis,4
mesic,2013,729.1,A,10,3,Aster ericoides,4
mesic,2013,729.1,A,10,3,Asclepias verticillata,1
mesic,2013,729.1,A,10,3,Salvia azurea,28
mesic,2013,729.1,A,10,3,Sorghastrum nutans,30
mesic,2013,729.1,A,10,3,Ruellia humilis,2
mesic,2013,729.1,A,10,3,Solidago missouriensis,7
mesic,2013,729.1,A,10,3,Dichanthelium oligosanthes,1
mesic,2014,665.7,A,10,3,Ambrosia psilostachya,1
mesic,2014,665.7,A,10,3,Andropogon gerardii,80
mesic,2014,665.7,A,10,3,Salvia azurea,18
mesic,2014,665.7,A,10,3,Aster ericoides,3
mesic,2014,665.7,A,10,3,Amorpha canescens,6
mesic,2014,665.7,A,10,3,Eragrostis spectabilis,4
mesic,2014,665.7,A,10,3,Solidago missouriensis,6
mesic,2014,665.7,A,10,3,Carex meadii,9
mesic,2014,665.7,A,10,3,Sorghastrum nutans,60
mesic,2014,665.7,A,10,3,Ruellia humilis,1
mesic,2014,665.7,A,10,3,Sporobolus asper,5
mesic,2014,665.7,A,10,3,Asclepias verticillata,1
mesic,2015,894,A,10,3,Andropogon gerardii,100
mesic,2015,894,A,10,3,Panicum virgatum,10
mesic,2015,894,A,10,3,Sorghastrum nutans,40
mesic,2015,894,A,10,3,Carex meadii,18
mesic,2015,894,A,10,3,Amorpha canescens,5
mesic,2015,894,A,10,3,Asclepias verticillata,1
mesic,2015,894,A,10,3,Ruellia humilis,1
mesic,2015,894,A,10,3,Salvia azurea,20
mesic,2015,894,A,10,3,Solidago missouriensis,8
mesic,2016,1054.2,A,10,3,Carex heliophila,1
mesic,2016,1054.2,A,10,3,Ambrosia psilostachya,1
mesic,2016,1054.2,A,10,3,Oxalis stricta,1
mesic,2016,1054.2,A,10,3,Kuhnia eupatorioides,1
mesic,2016,1054.2,A,10,3,Amorpha canescens,7
mesic,2016,1054.2,A,10,3,Sorghastrum nutans,17
mesic,2016,1054.2,A,10,3,Carex meadii,4
mesic,2016,1054.2,A,10,3,Salvia azurea,19
mesic,2016,1054.2,A,10,3,Panicum virgatum,4
mesic,2016,1054.2,A,10,3,Dichanthelium acuminatum,1
mesic,2016,1054.2,A,10,3,Dichanthelium oligosanthes,1
mesic,2016,1054.2,A,10,3,Solidago missouriensis,7
mesic,2016,1054.2,A,10,3,Ruellia humilis,1
mesic,2016,1054.2,A,10,3,Asclepias verticillata,1
mesic,2016,1054.2,A,10,3,Andropogon gerardii,95
mesic,2017,850.9,A,10,3,Ruellia humilis,2
mesic,2017,850.9,A,10,3,Oxalis stricta,1
mesic,2017,850.9,A,10,3,Carex meadii,2
mesic,2017,850.9,A,10,3,Asclepias verticillata,2
mesic,2017,850.9,A,10,3,Amorpha canescens,8
mesic,2017,850.9,A,10,3,Salvia azurea,50
mesic,2017,850.9,A,10,3,Andropogon gerardii,90
mesic,2017,850.9,A,10,3,Sorghastrum nutans,10
mesic,2017,850.9,A,10,3,Sporobolus asper,3
mesic,2017,850.9,A,10,3,Solidago missouriensis,25
mesic,2013,729.1,A,15,4,Asclepias verticillata,1
mesic,2013,729.1,A,15,4,Dichanthelium oligosanthes,6
mesic,2013,729.1,A,15,4,Andropogon gerardii,90
mesic,2013,729.1,A,15,4,Sporobolus heterolepis,8
mesic,2013,729.1,A,15,4,Eragrostis spectabilis,4
mesic,2013,729.1,A,15,4,Sporobolus asper,10
mesic,2013,729.1,A,15,4,Carex heliophila,2
mesic,2013,729.1,A,15,4,Sorghastrum nutans,30
mesic,2013,729.1,A,15,4,Carex meadii,2
mesic,2013,729.1,A,15,4,Ruellia humilis,2
mesic,2013,729.1,A,15,4,Bouteloua curtipendula,12
mesic,2013,729.1,A,15,4,Physalis pumila,4
mesic,2013,729.1,A,15,4,Cornus drummondii,6
mesic,2013,729.1,A,15,4,Salvia azurea,2
mesic,2014,665.7,A,15,4,Panicum virgatum,8
mesic,2014,665.7,A,15,4,Carex meadii,14
mesic,2014,665.7,A,15,4,Sporobolus asper,2
mesic,2014,665.7,A,15,4,Andropogon gerardii,95
mesic,2014,665.7,A,15,4,Aster ericoides,1
mesic,2014,665.7,A,15,4,Kuhnia eupatorioides,1
mesic,2014,665.7,A,15,4,Ruellia humilis,1
mesic,2014,665.7,A,15,4,Cornus drummondii,10
mesic,2014,665.7,A,15,4,Sisyrinchium campestris,1
mesic,2014,665.7,A,15,4,Salvia azurea,3
mesic,2014,665.7,A,15,4,Bouteloua curtipendula,5
mesic,2014,665.7,A,15,4,Sorghastrum nutans,10
mesic,2014,665.7,A,15,4,Dichanthelium oligosanthes,7
mesic,2015,894,A,15,4,Andropogon gerardii,100
mesic,2015,894,A,15,4,Bouteloua gracilis,1
mesic,2015,894,A,15,4,Dichanthelium oligosanthes,3
mesic,2015,894,A,15,4,Sorghastrum nutans,35
mesic,2015,894,A,15,4,Sporobolus heterolepis,5
mesic,2015,894,A,15,4,Carex meadii,12
mesic,2015,894,A,15,4,Ruellia humilis,2
mesic,2015,894,A,15,4,Salvia azurea,1
mesic,2015,894,A,15,4,Cornus drummondii,4
mesic,2016,1054.2,A,15,4,Ruellia humilis,1
mesic,2016,1054.2,A,15,4,Solidago missouriensis,6
mesic,2016,1054.2,A,15,4,Andropogon gerardii,90
mesic,2016,1054.2,A,15,4,Solidago canadensis,2
mesic,2016,1054.2,A,15,4,Salvia azurea,2
mesic,2016,1054.2,A,15,4,Sorghastrum nutans,35
mesic,2016,1054.2,A,15,4,Euphorbia nutans,1
mesic,2016,1054.2,A,15,4,Cornus drummondii,7
mesic,2016,1054.2,A,15,4,Ambrosia psilostachya,5
mesic,2016,1054.2,A,15,4,Dichanthelium oligosanthes,3
mesic,2016,1054.2,A,15,4,Sporobolus asper,8
mesic,2016,1054.2,A,15,4,Carex meadii,4
mesic,2016,1054.2,A,15,4,Solidago rigida,1
mesic,2017,850.9,A,15,4,Oxalis stricta,2
mesic,2017,850.9,A,15,4,Sporobolus asper,6
mesic,2017,850.9,A,15,4,Sorghastrum nutans,30
mesic,2017,850.9,A,15,4,Ruellia humilis,2
mesic,2017,850.9,A,15,4,Dichanthelium oligosanthes,3
mesic,2017,850.9,A,15,4,Eragrostis spectabilis,1
mesic,2017,850.9,A,15,4,Cornus drummondii,9
mesic,2017,850.9,A,15,4,Conyza,1
mesic,2017,850.9,A,15,4,Carex meadii,3
mesic,2017,850.9,A,15,4,Andropogon gerardii,95
mesic,2017,850.9,A,15,4,Euphorbia nutans,1
mesic,2017,850.9,A,15,4,Bouteloua curtipendula,1
mesic,2017,850.9,A,15,4,Ambrosia psilostachya,10
mesic,2017,850.9,A,15,4,Solidago canadensis,2
